,Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,2020 Election Stance,Trump,Trump Date,Club for Growth,Party Committee,Renew America,E-PAC,VIEW PAC,Maggie's List,Winning for Women,Race,Lastname_x,Firstname_x,Fuzzy_Firstname,Fuzzy_Lastname,Num Endorcements,Ethnicity,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,Lastname_y,Firstname_y
498,Gina R. Ciarcia,Female,White,,,No,No,Virginia,6/21/22,Representative,7,1565,4,Lost,0,0,,No comment,No,,,,,,No,,,White,CIARCIA,GINA,GINA,CIARCIA,0,[],H2VA07253,"CIARCIA, GINA RENEE MRS.",C,2,REP,88781.27,0.0,88781.27,0.0,0.0,0.0,5014.8,22972.35,0.0,48.03,0.0,0.0,59789.34,VA,7.0,,,,,,0.0,0.0,10/20/2022,0.0,0.0,CIARCIA,GINA
499,Yesli I. Vega,Female,Latino,,,No,No,Virginia,6/21/22,Representative,7,10913,29,Won,0,0,,Accepted with reservations,No,,,,,,Yes,,,Latino,VEGA,YESLI,YESLI,VEGA,1,['Latino (Salvadoran)'],H2VA07261,"VEGA, YESLI",C,2,REP,3679371.94,589614.11,3591973.51,79941.54,0.0,87398.43,0.0,0.0,0.0,0.0,0.0,389150.39,2587481.1,VA,7.0,,,,,,499504.96,950.0,12/31/2022,39475.68,4200.0,VEGA,YESLI
500,Ron Hanks,Male,White,,,No,No,Colorado,6/28/22,Senator,,288477,46,Lost,0,0,,Fully denied,No,,,,,,,,,White,HANKS,RON,RON,HANKS,0,[],S2CO00233,"HANKS, RON",C,2,REP,165544.27,0.0,165543.32,0.0,0.0,0.95,0.0,35100.0,0.0,11671.0,0.0,23429.0,130444.27,CO,0.0,,,,,,0.0,0.0,12/31/2022,20.0,0.0,HANKS,RON
501,Marshall Dawson,Male,Unknown,,,No,No,Colorado,6/28/22,Representative,2,1,100,Won,0,0,,No comment,No,,,,,,,,,Unknown,DAWSON,MARSHALL,MARSHALL,DAWSON,0,[],H2CO02205,"DAWSON, MARSHALL",C,2,REP,48943.09,0.0,34886.38,0.0,0.0,14056.71,6579.18,10000.0,0.0,10000.0,0.0,0.0,27993.91,CO,2.0,,,,,,4370.0,0.0,12/31/2022,0.0,0.0,DAWSON,MARSHALL
502,Lauren Boebert,Female,White,,,Yes,No,Colorado,6/28/22,Representative,3,86322,66,Won,0,0,,Fully denied,Yes,12/15/21,,,No,,,,,White,BOEBERT,LAUREN,LAUREN,BOEBERT,0,[],H0CO03165,"BOEBERT, LAUREN",I,2,REP,7854668.58,617863.47,7440187.29,4756.0,356794.33,771275.6,5.0,0.0,0.0,0.0,0.0,0.0,6724530.05,CO,3.0,,,,,,109194.5,0.0,12/31/2022,58481.05,2900.0,BOEBERT,LAUREN
503,Don Coram,Male,White,,,No,Yes,Colorado,6/28/22,Representative,3,44486,34,Lost,0,0,,Fully accepted,No,,,,,,,,,White,CORAM,DON,DON,CORAM,0,[],H2CO03328,"CORAM, DON",C,2,REP,256505.6,0.0,210001.2,0.0,0.0,46504.4,0.0,0.0,0.0,0.0,0.0,0.0,254005.6,CO,3.0,,,,,,2500.0,0.0,06/30/2022,0.0,0.0,CORAM,DON
504,Rebecca Keltie,Female,White,,,No,Yes,Colorado,6/28/22,Representative,5,12631,13,Lost,0,0,,Raised questions,No,,,,,,,,,White,KELTIE,REBECCA,REBECCA,KELTIE,0,[],H0CO05152,"KELTIE, REBECCA",C,2,REP,12916.48,0.0,8994.23,0.0,0.0,3972.25,0.0,7000.0,0.0,0.0,0.0,7000.0,5916.48,CO,5.0,,,,,,0.0,0.0,06/08/2022,0.0,0.0,KELTIE,REBECCA
505,Andrew Heaton,Male,White,,,No,Yes,Colorado,6/28/22,Representative,5,6121,6,Lost,0,0,,No comment,No,,,,,,,,,White,HEATON,ANDREW,ANDREW,HEATON,0,[],H2CO05240,"HEATON, ANDREW DAVID",C,2,REP,15185.0,0.0,13921.09,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,12345.18,7385.0,CO,5.0,,,,,,0.0,5800.0,12/31/2022,0.0,0.0,HEATON,ANDREW
506,Steven Monahan,Male,White,,,No,No,Colorado,6/28/22,Representative,6,1,100,Won,0,0,,No comment,No,,,,,,,,,White,MONAHAN,STEVEN,STEVEN,MONAHAN,0,[],H2CO06214,"MONAHAN, STEVEN EDWARD",C,2,REP,258207.39,0.0,258207.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255307.39,CO,6.0,,,,,,2900.0,0.0,11/28/2022,0.0,0.0,MONAHAN,STEVEN
507,Erik Aadland,Male,White,,,No,No,Colorado,6/28/22,Representative,7,43469,48,Won,0,0,,Raised questions,No,,,,,,,,,White,AADLAND,ERIK,ERIK,AADLAND,0,[],H2CO07170,"AADLAND, ERIK",O,2,REP,1525113.68,150716.76,1503919.88,69126.87,0.0,27171.3,9621.32,144000.0,0.0,74564.21,0.0,69435.79,1173389.12,CO,7.0,,,,,,36176.49,0.0,12/31/2022,3374.0,0.0,AADLAND,ERIK
509,Laurel Imer,Female,White,,,No,No,Colorado,6/28/22,Representative,7,14665,16,Lost,0,0,,Fully denied,No,,,,,,,,,White,IMER,LAUREL,LAUREL,IMER,0,[],H2CO07162,"IMER, LAUREL ANNE",O,2,REP,88683.51,0.0,88399.74,0.0,0.0,283.77,826.75,0.0,0.0,0.0,0.0,0.0,86820.88,CO,7.0,,,,,,1035.88,0.0,09/30/2022,0.0,1035.88,IMER,LAUREL
510,Tim Reichert,Male,White,,,No,No,Colorado,6/28/22,Representative,7,32583,36,Lost,0,0,,No comment,No,,,,,,,,,White,REICHERT,TIM,TIM,REICHERT,0,[],H2CO07204,"REICHERT, TIM",O,2,REP,1585826.05,0.0,1585826.05,0.0,0.0,0.0,0.0,1000000.0,0.0,442000.0,0.0,0.0,561626.05,CO,7.0,,,,,,24000.0,0.0,09/30/2022,121800.0,0.0,REICHERT,TIM
511,Lori A. Saine,Female,White,,,No,No,Colorado,6/28/22,Representative,8,12357,21,Lost,0,0,,Raised questions,No,,,,,,No,,,White,SAINE,LORI,LORI,SAINE,0,[],H2CO08061,"SAINE, LORI A",O,2,REP,371173.1,17002.53,371173.1,0.0,0.0,0.0,5837.35,130000.0,0.0,130000.0,0.0,0.0,212833.22,CO,8.0,,,,,,5500.0,0.0,11/21/2022,50200.0,0.0,SAINE,LORI
512,Barbara Kirkmeyer,Female,White,,,No,No,Colorado,6/28/22,Representative,8,22724,39,Won,0,0,,Fully accepted,No,,,,,,No,,,White,KIRKMEYER,BARBARA,BARBARA,KIRKMEYER,0,[],H2CO08079,"KIRKMEYER, BARBARA",O,2,REP,1602545.07,219674.48,1570692.33,69126.87,0.0,31852.74,2628.04,5000.0,40.0,5040.0,0.0,0.0,962314.35,CO,8.0,,,,,,401723.33,1000.0,12/31/2022,22276.18,10000.0,KIRKMEYER,BARBARA
513,Tyler Allcorn,Male,White,,,No,No,Colorado,6/28/22,Representative,8,9743,17,Lost,0,0,,Fully accepted,No,,,,,,No,,,White,ALLCORN,TYLER,TYLER,ALLCORN,0,[],H2CO08103,"ALLCORN, TYLER",O,2,REP,357200.13,0.0,357200.13,0.0,0.0,0.0,0.0,161767.0,0.0,70274.0,0.0,91493.0,174433.13,CO,8.0,,,,,,16000.0,0.0,09/30/2022,39305.0,0.0,ALLCORN,TYLER
514,Peggy Hubbard,Female,Black,,,No,No,Illinois,6/28/22,Senator,,177180,25,Lost,0,0,,Fully denied,No,,,,,,,,,Black,HUBBARD,PEGGY,PEGGY,HUBBARD,0,[],S0IL00501,"HUBBARD, PEGGY",C,2,REP,58898.32,0.0,56587.01,0.0,5199.66,7510.97,0.0,0.0,0.0,0.0,0.0,600.0,54387.56,IL,0.0,,,,,,0.0,500.0,12/31/2022,2.0,0.0,HUBBARD,PEGGY
515,Casey Chlebek,Male,White,,,No,No,Illinois,6/28/22,Senator,,76213,11,Lost,0,0,,Avoided answering,No,,,,,,,,,White,CHLEBEK,CASEY,CASEY,CHLEBEK,0,[],S0IL00550,"CHLEBEK, CASEY",C,2,REP,129656.03,0.0,160819.34,0.0,0.0,115.88,0.0,129556.03,0.0,0.0,0.0,129556.03,100.0,IL,0.0,,,,,,0.0,0.0,06/30/2022,0.0,0.0,CHLEBEK,CASEY
517,"Robert ""Bobby"" Piton",Male,White,,,No,No,Illinois,6/28/22,Senator,,65461,9,Lost,0,0,,Fully denied,No,,,,,,,,,White,PITON,ROBERT,ROBERT,PITON,0,[],S2IL00184,"PITON, ROBERT ""BOBBY""",C,2,REP,248686.05,0.0,248686.05,3607.0,0.0,0.0,3661.39,35821.97,0.0,42227.3,0.0,10821.97,204259.38,IL,0.0,,,,,,800.0,0.0,09/30/2022,0.0,0.0,PITON,ROBERT
518,Kathy Salvi,Female,White,,,No,No,Illinois,6/28/22,Senator,,216007,30,Won,0,0,,Accepted with reservations,No,,,,,,,,,White,SALVI,KATHY,KATHY,SALVI,0,[],S2IL00267,"SALVI, KATHY RAYE",C,2,REP,1348614.89,0.0,1340831.12,0.0,0.0,7823.77,648.0,480000.0,0.0,75000.0,0.0,80000.0,765546.39,IL,0.0,,,,,,30641.27,10000.0,12/31/2022,27557.0,0.0,SALVI,KATHY
519,"Matthew ""Matt"" Dubiel",Male,White,,,No,No,Illinois,6/28/22,Senator,,90538,13,Lost,0,0,,No comment,No,,,,,,,,,White,DUBIEL,MATTHEW,MATTHEW,DUBIEL,0,[],S2IL00259,"DUBIEL, MATTHEW JAMES",C,2,REP,136825.0,0.0,130414.55,0.0,100.0,0.0,6000.0,128000.0,0.0,128000.0,0.0,0.0,2825.0,IL,0.0,,,,,,0.0,0.0,12/14/2022,0.0,0.0,DUBIEL,MATTHEW
520,Eric Carlson,Male,White,,,No,No,Illinois,6/28/22,Representative,1,10755,40,Won,0,0,,Raised questions,No,,,,,,,,,White,CARLSON,ERIC,ERIC,CARLSON,0,[],H2IL01323,"CARLSON, ERIC JOSEPH MR.",O,2,REP,5896.21,0.0,5250.33,0.0,0.0,482.17,4646.21,1100.0,0.0,0.0,0.0,1100.0,150.0,IL,1.0,,,,,,0.0,0.0,10/19/2022,0.0,0.0,CARLSON,ERIC
521,Philanise White,Female,Black,,,No,No,Illinois,6/28/22,Representative,1,1598,6,Lost,0,0,,Avoided answering,No,,,,,,,,,Black,WHITE,PHILANISE,PHILANISE,WHITE,0,[],H0IL01194,"WHITE, PHILANISE",O,2,REP,5653.0,0.0,4180.81,0.0,927.55,-1950.0,0.0,0.0,0.0,0.0,0.0,0.0,5653.0,IL,1.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,WHITE,PHILANISE
522,Ashley Ramos,Female,Latino,,,No,No,Illinois,6/28/22,Representative,2,7524,27,Lost,0,0,,Fully denied,No,,,,,,,,,Latino,RAMOS,ASHLEY,ASHLEY,RAMOS,0,[],H2IL02198,"RAMOS, ASHLEY",C,2,REP,4403.0,0.0,4403.0,2125.0,0.0,0.0,0.0,2835.0,0.0,28.67,0.0,2806.33,1568.0,IL,2.0,,,,,,0.0,0.0,06/30/2022,0.0,0.0,RAMOS,ASHLEY
523,Justin Burau,Male,White,,,No,No,Illinois,6/28/22,Representative,3,1,100,Won,0,0,,Accepted with reservations,No,,,,,,,,,White,BURAU,JUSTIN,JUSTIN,BURAU,0,[],H2IL06082,"BURAU, JUSTIN",C,2,REP,28273.99,0.0,25999.79,0.0,0.0,2274.2,3110.3,2365.75,0.0,205.29,0.0,4361.18,20362.61,IL,3.0,,,,,,2354.23,0.0,10/19/2022,0.0,0.0,BURAU,JUSTIN
524,Tommy Hanson,Male,White,,,No,No,Illinois,6/28/22,Representative,5,14806,55,Won,0,0,,Accepted with reservations,No,,,,,,,,,White,HANSON,TOMMY,TOMMY,HANSON,0,[],H2IL05241,"HANSON, TOMMY",C,2,REP,28663.3,0.0,26617.42,0.0,0.0,2045.88,0.0,18000.0,0.0,0.0,0.0,18000.0,10663.3,IL,5.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,HANSON,TOMMY
525,Malgorzata McGonigal,Female,White,,,No,No,Illinois,6/28/22,Representative,5,11916,45,Lost,0,0,,No comment,No,,,,,,,,,White,MCGONIGAL,MALGORZATA,MALGORZATA,MCGONIGAL,0,[],H2IL05217,"MCGONIGAL, MALGORZATA",C,2,REP,23148.51,0.0,20018.82,0.0,0.0,0.0,100.0,5000.0,0.0,0.0,0.0,0.0,12122.0,IL,5.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,MCGONIGAL,MALGORZATA
526,Keith Pekau,Male,White,,,No,No,Illinois,6/28/22,Representative,6,20178,39,Won,0,0,,Fully accepted,No,,,,,,,,,White,PEKAU,KEITH,KEITH,PEKAU,0,[],H2IL06116,"PEKAU, KEITH",C,2,REP,1514693.19,154487.08,1511416.37,66728.33,0.0,3276.82,2360.95,65000.0,0.0,0.0,0.0,91801.91,1087715.51,IL,6.0,,,,,,198044.72,5500.0,12/31/2022,15998.49,500.0,PEKAU,KEITH
527,Niki Conforti,Female,White,,,No,No,Illinois,6/28/22,Representative,6,5947,11,Lost,0,0,,Raised questions,No,,,,,,,,,White,CONFORTI,NIKI,NIKI,CONFORTI,0,[],H2IL06090,"CONFORTI, NIKI",C,2,REP,75519.32,0.0,75509.18,2750.0,0.0,10.14,0.0,9300.0,0.0,0.0,0.0,9300.0,64446.7,IL,6.0,,,,,,1500.0,0.0,12/31/2022,175.0,0.0,CONFORTI,NIKI
528,Scott R. Kaspar,Male,White,,,No,No,Illinois,6/28/22,Representative,6,3573,7,Lost,0,0,,Raised questions,No,,,,,,,,,White,KASPAR,SCOTT,SCOTT,KASPAR,0,[],H2IL06132,"KASPAR, SCOTT RICHARD",C,2,REP,268040.01,137.12,268040.01,0.0,0.0,0.0,0.0,203526.13,0.0,12875.44,0.0,190650.69,63707.56,IL,6.0,,,,,,0.0,0.0,12/31/2022,9205.0,0.0,KASPAR,SCOTT
529,Gary Grasso,Male,White,,,No,No,Illinois,6/28/22,Representative,6,14150,27,Lost,0,0,,Fully accepted,No,,,,,,,,,White,GRASSO,GARY,GARY,GRASSO,0,[],H2IL06124,"GRASSO, GARY",C,2,REP,635117.0,10000.0,632673.13,0.0,0.0,2494.95,0.0,250000.0,0.0,0.0,0.0,250000.0,362967.0,IL,6.0,,,,,,12150.0,0.0,12/31/2022,0.0,0.0,GRASSO,GARY
530,"Robert ""Rob"" Cruz",Male,White,,,No,No,Illinois,6/28/22,Representative,6,3003,6,Lost,0,0,,Raised questions,No,,,,,,,,,White,CRUZ,ROBERT,ROBERT,CRUZ,0,[],H2IL03147,"CRUZ, ROBERT 'ROB'",C,2,REP,162526.76,0.0,162526.76,0.0,0.0,0.0,9440.16,12797.0,0.0,0.0,0.0,34253.45,140289.6,IL,6.0,,,,,,0.0,0.0,07/23/2022,140.0,0.0,CRUZ,ROBERT
532,Peter Kopsaftis,Male,White,,,No,No,Illinois,6/28/22,Representative,8,6101,18,Lost,0,0,,No comment,No,,,,,,,,,White,KOPSAFTIS,PETER,PETER,KOPSAFTIS,0,[],H2IL08161,"KOPSAFTIS, PETER",C,2,REP,91415.0,0.0,91015.0,0.0,0.0,400.0,0.0,41850.0,0.0,0.0,0.0,41850.0,49565.0,IL,8.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,KOPSAFTIS,PETER
533,Chad Koppie,Male,White,,,No,No,Illinois,6/28/22,Representative,8,4886,14,Lost,0,0,,Fully denied,No,,,,,,,,,White,KOPPIE,CHAD,CHAD,KOPPIE,0,[],H2IL08203,"KOPPIE, CHAD",C,2,REP,11416.8,0.0,5542.0,0.0,8636.8,14511.6,11416.8,0.0,0.0,0.0,0.0,0.0,0.0,IL,8.0,,,,,,0.0,0.0,09/30/2022,0.0,0.0,KOPPIE,CHAD
534,Phillip Owen Wood,Male,White,,,No,No,Illinois,6/28/22,Representative,8,6529,19,Lost,0,0,,No comment,No,,,,,,,,,White,WOOD,PHILLIP,PHILLIP,WOOD,0,[],H2IL08195,"WOOD, PHILLIP OWEN",C,2,REP,41636.18,0.0,41636.18,0.0,0.0,2840.26,0.0,10809.18,0.0,875.27,0.0,4529.33,30827.0,IL,8.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,WOOD,PHILLIP
535,"Maxwell ""Max"" Rice",Male,White,,,No,No,Illinois,6/28/22,Representative,9,1,100,Won,0,0,,No comment,No,,,,,,,,,White,RICE,MAXWELL,MAXWELL,RICE,0,[],H8IL09174,"RICE, MAXWELL",C,2,REP,9895.5,0.0,5840.0,0.0,0.0,4055.5,0.0,0.0,0.0,0.0,0.0,0.0,9895.5,IL,9.0,,,,,,0.0,0.0,09/30/2022,0.0,0.0,RICE,MAXWELL
536,Joseph Severino,Male,White,,,No,No,Illinois,6/28/22,Representative,10,1,100,Won,0,0,,No comment,No,,,,,,,,,White,SEVERINO,JOSEPH,JOSEPH,SEVERINO,0,[],H0IL10393,"SEVERINO, JOSEPH",C,2,REP,34275.0,0.0,21919.63,0.0,-93.5,3570.56,0.0,0.0,0.0,0.0,0.0,0.0,34275.0,IL,10.0,,,,,,0.0,0.0,10/19/2022,0.0,0.0,SEVERINO,JOSEPH
537,Jerry Evans,Male,White,,,No,No,Illinois,6/28/22,Representative,11,11158,23,Lost,0,0,,Accepted with reservations,No,,No,,,No,,,,White,EVANS,JERRY,JERRY,EVANS,0,[],H2IL11173,"EVANS, JERRY",C,2,REP,179832.59,0.0,179832.59,0.0,0.0,0.0,2399.47,0.0,0.0,0.0,0.0,0.0,175991.0,IL,11.0,,,,,,1442.0,0.0,09/30/2022,41724.0,0.0,EVANS,JERRY
538,Catalina Lauf,Female,Latino,,,No,No,Illinois,6/28/22,Representative,11,15360,31,Won,0,0,,Accepted with reservations,No,,Yes,,,Yes,,,,Latino,LAUF,CATALINA,CATALINA,LAUF,2,['Latino (Guatemalan)'],H2IL16107,"LAUF, CATALINA",O,2,REP,2775559.99,265887.9,2723320.66,66728.33,0.0,52239.33,0.0,0.0,0.0,0.0,0.0,0.0,2296511.04,IL,11.0,,,,,,133024.63,5000.0,12/31/2022,20618.47,975.0,LAUF,CATALINA
539,Susan L. Hathaway-Altman,Female,White,,,No,No,Illinois,6/28/22,Representative,11,6017,12,Lost,0,0,,Raised questions,No,,No,,,No,,,,White,HATHAWAY-ALTMAN,SUSAN,SUSAN,HATHAWAY-ALTMAN,0,[],H2IL11264,"HATHAWAY-ALTMAN, SUSAN",C,2,REP,18435.84,0.0,501.36,0.0,0.0,21.96,0.0,17128.84,0.0,0.0,0.0,21.96,1072.0,IL,11.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,HATHAWAY-ALTMAN,SUSAN
540,Mark Joseph Carroll,Male,White,,,No,No,Illinois,6/28/22,Representative,11,9955,20,Lost,0,0,,Raised questions,No,,No,,,No,,,,White,CARROLL,MARK,MARK,CARROLL,0,[],H2IL11207,"CARROLL, MARK JOSEPH",C,2,REP,47407.79,0.0,47407.79,0.0,0.0,0.0,1881.38,1500.0,0.0,75.95,0.0,0.0,41326.0,IL,11.0,,,,,,2700.0,0.0,11/07/2022,0.0,0.0,CARROLL,MARK
541,Cassandra Tanner Miller,Female,White,,,No,No,Illinois,6/28/22,Representative,11,3730,8,Lost,0,0,,Fully accepted,No,,No,,,No,,,,White,MILLER,CASSANDRA,CASSANDRA,MILLER,0,[],H2IL11157,"MILLER, CASSANDRA TANNER",C,2,REP,5200.0,0.0,1310.32,0.0,0.0,3889.68,0.0,0.0,0.0,0.0,0.0,30487.77,4900.0,IL,11.0,,,,,,300.0,0.0,12/31/2022,0.0,0.0,MILLER,CASSANDRA
542,Jesse Reising,Male,White,,,No,No,Illinois,6/28/22,Representative,13,14184,33,Lost,0,0,,Avoided answering,No,,,,,,No,No,,White,REISING,JESSE,JESSE,REISING,0,[],H2IL13161,"REISING, JESSE",C,2,REP,546738.03,0.0,546738.03,0.0,0.0,0.0,0.0,66248.66,0.0,0.0,0.0,66248.66,464489.37,IL,13.0,,,,,,16000.0,0.0,09/27/2022,79555.0,0.0,REISING,JESSE
543,Matt Hausman,Male,White,,,No,No,Illinois,6/28/22,Representative,13,10289,24,Lost,0,0,,Fully accepted,No,,,,,,No,No,,White,HAUSMAN,MATT,MATT,HAUSMAN,0,[],H2IL13195,"HAUSMAN, MATT",C,2,REP,107953.04,0.0,106145.86,0.0,120.22,2.69,46536.72,0.0,0.0,0.0,0.0,0.0,56416.32,IL,13.0,,,,,,5000.0,0.0,12/31/2022,8700.0,0.0,HAUSMAN,MATT
544,Regan Deering,Female,White,,,No,No,Illinois,6/28/22,Representative,13,14885,35,Won,0,0,,Accepted with reservations,No,,,,,,Yes,Yes,,White,DEERING,REGAN,REGAN,DEERING,2,[],H2IL13179,"DEERING, REGAN",C,2,REP,2096672.96,160252.12,2092016.01,66728.33,0.0,4656.95,4816.56,1000000.0,0.0,0.0,0.0,1000000.0,705337.61,IL,13.0,,,,,,221250.0,5000.0,12/31/2022,453.0,0.0,DEERING,REGAN
545,Terry Martin,Male,White,,,No,No,Illinois,6/28/22,Representative,13,3694,9,Lost,0,0,,Raised questions,No,,,,,,No,No,,White,MARTIN,TERRY,TERRY,MARTIN,0,[],H2IL13203,"MARTIN, TERRY",C,2,REP,7845.0,0.0,7845.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,6845.0,IL,13.0,,,,,,0.0,0.0,06/30/2022,0.0,0.0,MARTIN,TERRY
546,"James T. ""Jim"" Marter",Male,White,,,No,No,Illinois,6/28/22,Representative,14,10950,24,Lost,0,0,,Fully denied,No,,,,,,,,,White,MARTER,JAMES,JAMES,MARTER,0,[],H8IL16153,"MARTER, JAMES THOMAS",C,2,REP,140213.33,251.47,140046.27,4753.84,73.3,240.36,0.0,41714.16,0.0,0.0,0.0,100466.94,92947.7,IL,14.0,,,,,,3150.0,100.0,12/31/2022,0.0,0.0,MARTER,JAMES
547,Scott R. Gryder,Male,White,,,No,No,Illinois,6/28/22,Representative,14,13998,31,Won,0,0,,Fully accepted,No,,,,,,,,,White,GRYDER,SCOTT,SCOTT,GRYDER,0,[],H2IL14102,"GRYDER, SCOTT",C,2,REP,658298.5,158243.74,645059.05,66728.33,0.0,13239.45,0.0,20000.0,0.0,0.0,0.0,43217.12,393451.06,IL,14.0,,,,,,81984.4,0.0,12/31/2022,2289.33,0.0,GRYDER,SCOTT
548,Jaime Milton,Female,White,,,No,No,Illinois,6/28/22,Representative,14,4612,10,Lost,0,0,,Fully denied,No,,,,,,,,,White,MILTON,JAIME,JAIME,MLTON,0,[],H2IL14136,"MLTON, JAIME",C,2,REP,8778.83,0.0,5197.49,0.0,0.0,1862.6,120.0,1718.74,18.0,0.0,0.0,1927.39,5317.05,IL,14.0,,,,,,1570.04,0.0,12/31/2022,0.0,0.0,MLTON,JAIME
549,Rodney Davis,Male,White,,,Yes,Yes,Illinois,6/28/22,Representative,15,47852,43,Lost,0,0,,Fully accepted,No,,No,,,,,No,,White,DAVIS,RODNEY,RODNEY,DAVIS,0,[],H2IL13120,"DAVIS, RODNEY L",I,2,REP,4006545.13,217401.39,4139770.05,0.0,140435.67,7210.75,0.0,0.0,0.0,0.0,0.0,6500.0,1459049.96,IL,15.0,,,,,,2232087.17,100.0,12/31/2022,225835.01,381125.0,DAVIS,RODNEY
550,Mary Miller,Female,White,,,Yes,Yes,Illinois,6/28/22,Representative,15,64549,57,Won,0,0,,Fully denied,Yes,1/1/22,Yes,,,,,Yes,,White,MILLER,MARY,MARY,MILLER,2,[],H0IL15129,"MILLER, MARY",I,2,REP,2019930.74,153692.21,1828645.17,0.0,118700.73,309986.3,0.0,0.0,0.0,0.0,0.0,0.0,1629866.24,IL,15.0,,,,,,231644.94,0.0,12/31/2022,1000.0,4800.0,MILLER,MARY
551,Darin LaHood,Male,White,,,Yes,No,Illinois,6/28/22,Representative,16,56582,66,Won,0,0,,Accepted with reservations,Yes,6/27/22,,,,,,,,White,LAHOOD,DARIN,DARIN,LAHOOD,0,[],H6IL18088,"LAHOOD, DARIN MCKAY",I,2,REP,3915556.68,903070.07,3041438.67,2900.0,3090570.84,3964688.85,0.0,0.0,0.0,0.0,0.0,0.0,872732.7,IL,16.0,,,,,,2137250.0,0.0,12/31/2022,12185.0,5350.0,LAHOOD,DARIN
552,Walt Peters,Male,White,,,No,Yes,Illinois,6/28/22,Representative,16,11278,13,Lost,0,0,,No comment,No,,,,,,,,,White,PETERS,WALT,WALT,PETERS,0,[],H2IL16131,"PETERS, WALT",O,2,REP,21545.71,0.0,21545.71,0.0,0.0,0.0,5656.71,10000.0,0.0,228.31,0.0,0.0,5889.0,IL,16.0,,,,,,0.0,0.0,07/21/2022,0.0,0.0,PETERS,WALT
553,Michael Rebresh,Male,White,,,No,Yes,Illinois,6/28/22,Representative,16,6911,8,Lost,0,0,,Fully denied,No,,,,,,,,,White,REBRESH,MICHAEL,MICHAEL,REBRESH,0,[],H2IL16123,"REBRESH, MICHAEL STEPHAN MR",O,2,REP,18250.0,0.0,14770.09,0.0,0.0,0.0,6000.0,7500.0,0.0,0.0,0.0,0.0,4750.0,IL,16.0,,,,,,0.0,0.0,09/30/2022,0.0,0.0,REBRESH,MICHAEL
554,Esther Joy King,Female,White,,,No,No,Illinois,6/28/22,Representative,17,31065,69,Won,0,0,,No comment,No,,,Yes,,Yes,Yes,Yes,Yes,White,KING,ESTHER,ESTHER,KING,5,[],H0IL17083,"KING, ESTHER JOY",O,2,REP,5114935.2,697879.47,5038168.71,79559.34,2291.5,79057.99,0.0,0.0,0.0,10150.0,0.0,0.0,3555039.98,IL,17.0,,,,,,724496.49,5000.0,12/31/2022,62623.02,-1000.0,KING,ESTHER
555,Lee Zeldin,Male,White,,,No,No,New York,6/28/22,Governor,,196874,43,Won,0,0,,Accepted with reservations,No,,,,,,,,,White,ZELDIN,LEE,LEE,ZELDIN,0,[],H8NY01148,"ZELDIN, LEE MICHAEL",I,2,REP,781455.27,49562.05,939677.13,463000.0,171436.25,13214.39,0.0,0.0,0.0,0.0,0.0,0.0,645362.9,NY,1.0,,,,,,73000.0,0.0,12/31/2022,1000.0,0.0,ZELDIN,LEE
556,James Lankford,Male,White,,,Yes,No,Oklahoma,6/28/22,Senator,,243132,68,Won,0,0,,Accepted with reservations,No,,,Yes,,,,,,White,LANKFORD,JAMES,JAMES,LANKFORD,1,[],H0OK05114,"LANKFORD, JAMES PAUL MR.",C,2,REP,5868351.84,744511.96,4707427.93,0.0,913175.19,2074099.1,0.0,0.0,0.0,0.0,0.0,0.0,3279385.05,OK,5.0,,,,,,1759652.02,53700.0,12/31/2022,30935.29,3500.0,LANKFORD,JAMES
