,Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,2020 Election Stance,Trump,Trump Date,Club for Growth,Party Committee,Renew America,E-PAC,VIEW PAC,Maggie's List,Winning for Women,Race,Lastname_x,Firstname_x,Fuzzy_Firstname,Fuzzy_Lastname,Num Endorcements,Ethnicity,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,Lastname_y,Firstname_y
21,Michael McCaul,Male,White,,,Yes,No,Texas,3/1/22,Representative,10,63920,100,Won,0,0,,Accepted with reservations,Yes,11/11/21,,,,,,,,White,MCCAUL,MICHAEL,MICHAEL,MCCAUL,0,[],H4TX10093,"MCCAUL, MICHAEL",I,2,REP,2729647.14,1071779.82,2476623.21,0.0,7733.69,260757.62,0.0,0.0,0.0,0.0,0.0,0.0,870906.53,TX,10.0,,,,,,786600.0,0.0,12/31/2022,3000.0,5000.0,MCCAUL,MICHAEL
22,August Pfluger,Male,White,,,Yes,No,Texas,3/1/22,Representative,11,61479,100,Won,0,0,,Fully denied,Yes,11/9/21,,,,,,,,White,PFLUGER,AUGUST,AUGUST,PFLUGER,0,[],H0TX11230,"PFLUGER, AUGUST LEE II",I,2,REP,3100563.17,1329616.18,2118606.73,0.0,594406.49,1576362.93,0.0,0.0,0.0,0.0,0.0,0.0,1178079.84,TX,11.0,,,,,,587872.76,0.0,12/31/2022,77533.17,1000.0,PFLUGER,AUGUST
23,Ryan J. Catala,Male,White,,,No,Yes,Texas,3/1/22,Representative,12,8759,14,Lost,0,0,,No comment,No,,,,,,No,No,,White,CATALA,RYAN,RYAN,CATALA,0,[],H2TX12101,"CATALA, RYAN JOSHUA",C,2,REP,7471.18,0.0,7133.86,0.0,0.0,521.82,5834.59,0.0,0.0,0.0,0.0,0.0,1631.59,TX,12.0,,,,,,0.0,0.0,06/24/2022,0.0,0.0,CATALA,RYAN
24,Kay Granger,Female,White,,,Yes,No,Texas,3/1/22,Representative,12,46779,75,Won,0,0,,Fully accepted,Yes,2/17/22,,,,,Yes,Yes,,White,GRANGER,KAY,KAY,GRANGER,2,[],H6TX12060,"GRANGER, KAY",I,2,REP,2041432.69,43777.45,2034933.82,0.0,310665.38,317164.25,0.0,0.0,0.0,0.0,0.0,0.0,917172.51,TX,12.0,,,,,,1080225.78,0.0,12/31/2022,55746.64,6051.81,GRANGER,KAY
25,Ronny Jackson,Male,White,,,Yes,No,Texas,3/1/22,Representative,13,71554,100,Won,0,0,,Fully denied,Yes,12/13/21,,,,,,,,White,JACKSON,RONNY,RONNY,JACKSON,0,[],H0TX13228,"JACKSON, RONNY LYNN",I,2,REP,5097598.64,362052.78,4817462.91,0.0,387139.24,667274.97,0.0,0.0,0.0,0.0,0.0,0.0,4228811.42,TX,13.0,,,,,,488539.18,0.0,12/31/2022,257190.42,100.0,JACKSON,RONNY
26,Ruben Landon Dante,Male,Latino,,,No,Yes,Texas,3/1/22,Representative,14,1854,3,Lost,0,0,,Fully denied,No,,,,,,,,,Latino,DANTE,RUBEN,RUBEN,DANTE,0,[],H2TX14198,"DANTE, RUBEN LANDON",C,2,REP,1301.06,0.0,0.0,0.0,3150.0,4451.06,0.0,1301.06,0.0,0.0,0.0,4451.06,0.0,TX,14.0,,,,,,0.0,0.0,02/09/2022,0.0,0.0,DANTE,RUBEN
27,Randy Weber,Male,White,,,Yes,No,Texas,3/1/22,Representative,14,58439,89,Won,0,0,,Fully denied,Yes,2/16/22,,,,,,,,White,WEBER,RANDY,RANDY,WEBER,0,[],H2TX14149,"WEBER, RANDY",I,2,REP,1036639.13,0.0,1066150.61,0.0,471407.16,441895.68,0.0,0.0,0.0,0.0,0.0,124000.0,602130.91,TX,14.0,,,,,,317023.71,0.0,12/31/2022,4300.0,1000.0,WEBER,RANDY
28,Sara Canady,Female,White,,,No,No,Texas,3/1/22,Representative,15,2741,9,Lost,0,0,,No comment,No,,,No,,No,No,No,No,White,CANADY,SARA,SARA,CANADY,0,[],H2TX15187,"CANADY, SARA LARUE NEWNAM",C,2,REP,23680.0,0.0,18107.34,0.0,0.0,5572.66,0.0,5000.0,0.0,4000.0,0.0,1000.0,18680.0,TX,15.0,,,,,,0.0,0.0,03/31/2022,0.0,0.0,CANADY,SARA
29,Mauro Garza,Male,Latino,,,No,No,Texas,3/1/22,Representative,15,4544,15,Lost,0,0,,Raised questions,No,,,No,,No,No,No,No,Latino,GARZA,MAURO,MAURO,GARZA,0,[],H8TX21331,"GARZA, MAURO EVERETT MR.",C,2,REP,782982.26,0.0,828869.09,0.0,45851.83,0.0,228082.06,243200.0,0.0,0.0,0.0,777480.53,310106.98,TX,15.0,,,,,,981.2,0.0,12/31/2022,10.0,0.0,GARZA,MAURO
30,Ryan Krause,Male,White,,,No,No,Texas,3/1/22,Representative,15,2728,9,Lost,0,0,,No comment,No,,,No,,No,No,No,No,White,KRAUSE,RYAN,RYAN,KRAUSE,0,[],H0TX15108,"KRAUSE, RYAN PATRICK",C,2,REP,19452.04,0.0,10881.02,0.0,332.67,9003.69,10637.04,0.0,0.0,0.0,0.0,0.0,8815.0,TX,15.0,,,,,,0.0,0.0,06/02/2022,0.0,0.0,KRAUSE,RYAN
