,Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,EMILY's List,Justice Dems,Indivisible,PCCC,Our Revolution,Sunrise,Sanders,AOC,Party Committee,Biden,Race,Lastname_x,Firstname_x,Num Endorcements,Ethnicity,Fuzzy_Firstname,Fuzzy_Lastname,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,Lastname_y,Firstname_y
533,Patrick Pihana Branco,Male,Latino,Pacific Islander,Asian,No,No,Hawaii,8/13/2022,Representative,2,27057,25,Lost,0,0,,No,,,,,,,,,False,Asian Latino Pacific Islander,BRANCO,PATRICK,0,"['Latino (Puerto Rican)', 'Islander (Native Hawaiian)', 'Asian (Filipino)']",PATRICK,BRANCO,H2HI02599,"BRANCO, PATRICK PIHANA",O,1,DEM,185979.32,0.0,185979.32,2292.79,0.0,0.0,1920.59,0.0,0.0,0.0,0.0,0.0,119818.51,HI,2.0,,,,,,64000.0,0.0,09/30/2022,6900.0,1500.0,BRANCO,PATRICK
534,Nicole Gi,Female,Asian,,,No,No,Hawaii,8/13/2022,Representative,2,3937,4,Lost,0,0,,No,,,,,,,,,False,Asian,GI,NICOLE,0,[],NICOLE,GI,H2HI02623,"GI, NICOLE",C,1,DEM,12325.0,0.0,8785.45,0.0,0.0,3539.55,0.0,12000.0,0.0,0.0,0.0,12000.0,325.0,HI,2.0,,,,,,0.0,0.0,09/30/2022,0.0,0.0,GI,NICOLE
535,Jill N. Tokuda,Female,Asian,,,No,No,Hawaii,8/13/2022,Representative,2,62275,58,Won,0,0,,Yes,,,,,,,,,False,Asian,TOKUDA,JILL,1,[],JILL,TOKUDA,H2HI02581,"TOKUDA, JILL NAOMI",O,1,DEM,1042387.26,48570.29,841651.22,0.0,0.0,200736.04,0.0,25000.0,0.0,25000.0,0.0,0.0,746702.33,HI,2.0,,,,,,219700.0,0.0,12/31/2022,3.0,0.0,TOKUDA,JILL
536,Patricia R. Chesbro,Female,White,,,No,No,Alaska,8/16/2022,Senator,,12989,77,Won,0,0,,,,,,,,,,,False,White,CHESBRO,PATRICIA,0,[],PATRICIA,CHESBRO,S2AK00226,"CHESBRO, PATRICIA",C,1,DEM,188577.24,0.0,180946.8,0.0,0.0,7630.44,9131.42,0.0,0.0,0.0,0.0,0.0,178485.81,AK,0.0,,,,,,300.0,500.0,12/31/2022,253.3,300.0,CHESBRO,PATRICIA
537,Mary S. Peltola,Female,Native American,,,No,No,Alaska,8/16/2022,Representative,At-Large,70295,100,Won,0,0,,,,,,,,,,,False,Native American,PELTOLA,MARY,0,['American (Yupik)'],MARY,PELTOLA,H2AK01158,"PELTOLA, MARY",I,1,DEM,7751293.39,186868.19,7060033.09,0.0,0.0,691260.3,25.0,0.0,0.0,0.0,0.0,0.0,7149826.02,AK,0.0,,,,,,384020.59,10000.0,12/31/2022,136657.7,3912.66,PELTOLA,MARY
538,Lynnette GreyBull,Female,Native American,,,No,No,Wyoming,8/16/2022,Representative,At-Large,4507,59,Won,0,0,,,,,,,,,,,False,Native American,GREYBULL,LYNNETTE,0,['American (Arapaho)'],LYNNETTE,GREYBULL,H0WY01036,"GREYBULL, LYNNETTE",C,1,DEM,87407.75,0.0,89155.39,5000.0,2362.57,614.93,0.0,0.0,0.0,0.0,0.0,1460.0,87407.67,WY,0.0,,,,,,0.0,0.0,12/31/2022,76.5,0.0,GREYBULL,LYNNETTE
539,Val Demings,Female,Black,,,No,No,Florida,8/23/2022,Senator,,1263706,84,Won,0,0,,Yes,,,,,,,,,True,Black,DEMINGS,VAL,1,[],VAL,DEMINGS,S2FL00631,"DEMINGS, VAL",C,1,DEM,81084014.15,1379188.03,81522523.19,0.0,771421.87,332912.83,0.0,0.0,0.0,0.0,0.0,0.0,78577417.51,FL,0.0,,,,,,964003.98,0.0,12/31/2022,1408898.69,9300.0,DEMINGS,VAL
540,Brian Rush,Male,White,,,No,No,Florida,8/23/2022,Senator,,94185,6,Lost,0,0,,No,,,,,,,,,False,White,RUSH,BRIAN,0,[],BRIAN,RUSH,S2FL00748,"RUSH, BRIAN",C,1,DEM,49763.73,0.0,49763.73,0.0,0.0,0.0,2363.73,12000.0,0.0,11736.36,0.0,263.64,35400.0,FL,0.0,,,,,,0.0,0.0,09/30/2022,0.0,0.0,RUSH,BRIAN
541,William Sanchez,Male,Latino,,,No,No,Florida,8/23/2022,Senator,,84576,6,Lost,0,0,,No,,,,,,,,,False,Latino,SANCHEZ,WILLIAM,0,[],WILLIAM,SANCHEZ,S2FL00623,"SANCHEZ, WILLIAM",C,1,DEM,289133.08,0.0,235693.9,0.0,0.0,-2686.88,3850.0,225155.42,0.0,75345.0,0.0,12515.0,59802.66,FL,0.0,,,,,,0.0,300.0,09/30/2022,0.0,0.0,SANCHEZ,WILLIAM
542,Rebekah Jones,Female,White,,,No,No,Florida,8/23/2022,Representative,1,21875,63,Won,0,0,,,,,,,,,,,False,White,JONES,REBEKAH,0,[],REBEKAH,JONES,H2FL01233,"JONES, REBEKAH",C,1,DEM,980885.53,0.0,981426.83,0.0,0.0,-541.3,100.0,171650.0,0.0,38000.0,0.0,148650.0,792568.72,FL,1.0,,,,,,5500.0,500.0,12/31/2022,6513.5,0.0,JONES,REBEKAH
