,Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,EMILY's List,Justice Dems,Indivisible,PCCC,Our Revolution,Sunrise,Sanders,AOC,Party Committee,Biden,Race,Lastname_x,Firstname_x,Num Endorcements,Ethnicity,Fuzzy_Firstname,Fuzzy_Lastname,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,Lastname_y,Firstname_y
143,Madeleine Dean,Female,White,,,Yes,No,Pennsylvania,5/17/2022,Representative,4,96876,100,Won,0,0,,,,,,,,,,,False,White,DEAN,MADELEINE,0,[],MADELEINE,DEAN,H8PA04116,"DEAN, MADELEINE",I,1,DEM,2055980.52,2401.25,1925679.55,0.0,574594.01,704894.98,0.0,0.0,0.0,78157.52,0.0,0.0,1041613.63,PA,4.0,,,,,,993300.01,5000.0,12/31/2022,12468.5,0.0,DEAN,MADELEINE
144,Mary Gay Scanlon,Female,White,,,Yes,No,Pennsylvania,5/17/2022,Representative,5,79816,100,Won,0,0,,,,,,,,,,,False,White,SCANLON,MARY,0,[],MARY,SCANLON,H8PA07200,"SCANLON, MARY GAY",I,1,DEM,1596137.42,0.0,1512234.94,0.0,218678.96,302581.44,0.0,0.0,0.0,0.0,0.0,250000.0,916926.64,PA,5.0,,,,,,669750.69,5000.0,12/31/2022,4435.0,500.0,SCANLON,MARY
145,Chrissy Houlahan,Female,White,,,Yes,No,Pennsylvania,5/17/2022,Representative,6,71950,100,Won,0,0,,Yes,,,,,,,,,False,White,HOULAHAN,CHRISSY,1,[],CHRISSY,HOULAHAN,H8PA06087,"HOULAHAN, CHRISSY",I,1,DEM,4823029.87,394918.75,4974591.65,0.0,3109256.64,2957694.86,0.0,0.0,0.0,0.0,0.0,0.0,3028116.4,PA,6.0,,,,,,1368071.98,12939.7,12/31/2022,36518.43,0.0,HOULAHAN,CHRISSY
146,Susan Wild,Female,White,,,Yes,No,Pennsylvania,5/17/2022,Representative,7,63817,100,Won,0,0,,No,,,,,,,,,False,White,WILD,SUSAN,0,[],SUSAN,WILD,H8PA15229,"WILD, SUSAN",I,1,DEM,7002291.19,338424.17,7027026.2,0.0,78696.36,53961.35,0.0,0.0,0.0,18300.0,0.0,0.0,5366116.25,PA,7.0,,,,,,1279735.82,15451.92,12/31/2022,62997.85,11700.0,WILD,SUSAN
147,Amanda R. Waldman,Female,White,,,No,No,Pennsylvania,5/17/2022,Representative,9,41622,100,Won,0,0,,,,,,,,,,,False,White,WALDMAN,AMANDA,0,[],AMANDA,WALDMAN,H2PA09126,"WALDMAN, AMANDA",C,1,DEM,30546.88,0.0,30311.97,0.0,130.0,364.91,0.0,0.0,0.0,0.0,0.0,0.0,21376.88,PA,9.0,,,,,,4500.0,3750.0,12/31/2022,0.0,0.0,WALDMAN,AMANDA
148,Rick Coplen,Male,White,,,No,No,Pennsylvania,5/17/2022,Representative,10,29128,47,Lost,0,0,,,,,,,,,,,False,White,COPLEN,RICK,0,[],RICK,COPLEN,H2PA10116,"COPLEN, RICK",C,1,DEM,34165.49,0.0,34165.49,0.0,0.0,0.0,1900.0,0.0,0.0,0.0,0.0,0.0,31909.0,PA,10.0,,,,,,100.0,0.0,06/30/2022,0.0,0.0,COPLEN,RICK
149,Shamaine Daniels,Female,Latino,,,No,No,Pennsylvania,5/17/2022,Representative,10,32260,53,Won,0,0,,,,,,,,,,,False,Latino,DANIELS,SHAMAINE,0,['Latino (Venezuelan)'],SHAMAINE,DANIELS,H2PA10124,"DANIELS, SHAMAINE MS",C,1,DEM,414294.52,0.0,412696.48,0.0,0.0,1598.04,40.0,0.0,0.0,0.0,0.0,4729.14,375355.1,PA,10.0,,,,,,30714.43,6150.0,12/31/2022,5890.0,0.0,DANIELS,SHAMAINE
150,Jeff Woodard,Male,Black,,,No,No,Pennsylvania,5/17/2022,Representative,12,5454,5,Lost,0,0,,No,No,,No,No,No,No,No,,False,Black,WOODARD,JEFF,0,[],JEFF,WOODARD,H2PA18234,"WOODARD, JEFF",O,1,DEM,1010.0,0.0,1196.0,0.0,0.0,-186.0,0.0,0.0,0.0,0.0,0.0,22813.0,1010.0,PA,18.0,,,,,,0.0,0.0,09/30/2022,0.0,0.0,WOODARD,JEFF
151,Summer Lee,Female,Black,,,No,No,Pennsylvania,5/17/2022,Representative,12,48002,42,Won,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,True,Black,LEE,SUMMER,7,[],SUMMER,LEE,H2PA18200,"LEE, SUMMER",O,1,DEM,1851679.14,7741.53,1827312.18,0.0,0.0,24366.96,0.0,0.0,0.0,0.0,0.0,0.0,1470877.73,PA,12.0,,,,,,349219.1,6500.0,12/31/2022,5975.41,0.0,LEE,SUMMER
152,Sean Meloy,Male,White,,,No,No,Pennsylvania,5/17/2022,Representative,17,35638,36,Lost,0,0,,,,,,,,,,,False,White,MELOY,SEAN,0,[],SEAN,MELOY,H2PA17137,"MELOY, SEAN",O,1,DEM,321273.32,0.0,321273.32,0.0,0.0,0.0,9666.45,3500.0,0.0,3500.0,0.0,0.0,290305.9,PA,17.0,,,,,,17800.0,0.0,09/30/2022,3245.0,2000.0,MELOY,SEAN
153,Taysha DeVaughan,Female,Native American,,,No,No,Virginia,5/21/2022,Representative,9,1,100,Won,0,0,,,,,,,,,,,False,Native American,DEVAUGHAN,TAYSHA,0,['American (Comanche)'],TAYSHA,DEVAUGHAN,H2VA09085,"DEVAUGHAN, TAYSHA",C,1,DEM,58626.65,0.0,56151.45,0.0,0.0,2475.2,0.0,0.0,0.0,0.0,0.0,0.0,54211.9,VA,9.0,,,,,,3614.75,300.0,12/31/2022,0.0,0.0,DEVAUGHAN,TAYSHA
154,Lanny Jackson,Male,Black,,,No,No,Alabama,5/24/2022,Senator,,28402,17,Lost,0,0,,,,,,,,,,,False,Black,JACKSON,LANNY,0,[],LANNY,JACKSON,S2AL00236,"JACKSON, LANNY EDWARD MR.",O,1,DEM,48.25,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,5792.75,48.25,AL,0.0,,,,,,0.0,0.0,05/24/2022,0.0,0.0,JACKSON,LANNY
155,Phyllis Harvey-Hall,Female,Black,,,No,No,Alabama,5/24/2022,Representative,2,16884,69,Won,0,0,,,,,,,,,,,False,Black,HARVEY-HALL,PHYLLIS,0,[],PHYLLIS,HARVEY-HALL,H0AL02202,"HARVEY-HALL, PHYLLIS",C,1,DEM,60440.24,0.0,60219.66,0.0,0.0,220.58,0.0,7823.0,0.0,0.0,0.0,1200.0,48936.06,AL,2.0,,,,,,350.0,3331.18,12/31/2022,0.0,0.0,HARVEY-HALL,PHYLLIS
156,Vimal Patel,Male,Asian,,,No,No,Alabama,5/24/2022,Representative,2,7667,31,Lost,0,0,,,,,,,,,,,False,Asian,PATEL,VIMAL,0,[],VIMAL,PATEL,H2AL02166,"PATEL, VIMAL",C,1,DEM,61099.81,0.0,59961.13,0.0,0.0,1138.68,17265.0,12811.0,0.0,0.0,0.0,12811.0,31023.81,AL,2.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,PATEL,VIMAL
157,Kathy Warner-Stanton,Female,Black,,,No,No,Alabama,5/24/2022,Representative,5,9010,57,Won,0,0,,,,,,,,,,,False,Black,WARNER-STANTON,KATHY,0,[],KATHY,WARNER-STANTON,H2AL05177,"WARNER-STANTON, KATHY L",O,1,DEM,85150.0,0.0,84706.25,0.0,-248.72,195.03,0.0,80000.0,0.0,0.0,0.0,80000.0,5150.0,AL,5.0,,,,,,0.0,0.0,11/28/2022,0.0,0.0,WARNER-STANTON,KATHY
158,Natalie James,Female,Black,,,No,No,Arkansas,5/24/2022,Senator,,49722,54,Won,0,0,,,,,,,,,,,False,Black,JAMES,NATALIE,0,[],NATALIE,JAMES,S2AR00115,"JAMES, NATALIE",C,1,DEM,81480.89,0.0,81265.58,0.0,0.0,215.31,0.0,10109.57,801.05,5000.0,0.0,5910.62,69437.27,AR,0.0,,,,,,1000.0,75.0,12/31/2022,15.0,0.0,JAMES,NATALIE
159,Monte Hodges,Male,Black,,,No,No,Arkansas,5/24/2022,Representative,1,1,100,Won,0,0,,,,,,,,,,,False,Black,HODGES,MONTE,0,[],MONTE,HODGES,H2AR01113,"HODGES, MONTE",C,1,DEM,66983.81,0.0,64098.32,0.0,0.0,3328.65,0.0,25000.0,0.0,0.0,0.0,25000.0,41983.81,AR,1.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,HODGES,MONTE
160,Tamara Johnson-Shealey,Female,Black,,,No,Yes,Georgia,5/24/2022,Senator,,28984,4,Lost,0,0,,,,,,,,,,,False,Black,JOHNSON-SHEALEY,TAMARA,0,[],TAMARA,JOHNSON-SHEALEY,S0GA00484,"JOHNSON-SHEALEY, TAMARA",C,1,DEM,63551.01,0.0,71028.72,0.0,-3936.46,-4689.59,0.0,1.0,0.0,347.0,0.0,0.0,45955.25,GA,0.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,JOHNSON-SHEALEY,TAMARA
161,Raphael Warnock,Male,Black,,,Yes,No,Georgia,5/24/2022,Senator,,702610,96,Won,0,0,,,,,,,,,,,False,Black,WARNOCK,RAPHAEL,0,[],RAPHAEL,WARNOCK,S0GA00559,"WARNOCK, RAPHAEL",I,1,DEM,206593947.75,11404000.41,223503096.73,2481.77,22762985.43,5853836.45,0.0,0.0,0.0,0.0,0.0,0.0,191458967.85,GA,0.0,,,,,,2124484.49,55760.84,12/31/2022,2531756.22,27975.0,WARNOCK,RAPHAEL
162,Joyce Marie Griggs,Female,Black,,,No,No,Georgia,5/24/2022,Representative,1,21891,49,Made runoff,7918,38,Lost,,,,,,,,,,False,Black,GRIGGS,JOYCE,0,[],JOYCE,GRIGGS,H0GA01029,"GRIGGS, JOYCE MARIE",C,1,DEM,40517.58,0.0,45326.45,0.0,5042.84,233.97,0.0,33736.0,0.0,1240.0,0.0,83808.0,6603.48,GA,1.0,,,,,,0.0,0.0,12/31/2022,100.0,0.0,GRIGGS,JOYCE
163,Wade Herring,Male,White,,,No,No,Georgia,5/24/2022,Representative,1,17118,38,Made runoff,12880,62,Won,,,,,,,,,,False,White,HERRING,WADE,0,[],WADE,HERRING,H2GA01249,"HERRING, WADE WILKES MR. II",C,1,DEM,1395014.76,0.0,1391152.16,0.0,0.0,3862.6,52673.18,42722.47,0.0,0.0,0.0,42722.47,1279965.36,GA,1.0,,,,,,7500.0,5300.0,12/31/2022,0.0,0.0,HERRING,WADE
164,Michelle L. Munroe,Female,White,,,No,No,Georgia,5/24/2022,Representative,1,6043,13,Lost,0,0,,,,,,,,,,,False,White,MUNROE,MICHELLE,0,[],MICHELLE,MUNROE,H2GA01272,"MUNROE, MICHELLE",C,1,DEM,88178.66,0.0,88178.66,0.0,0.0,0.0,5350.0,50000.0,0.0,21039.38,0.0,28960.62,30066.53,GA,1.0,,,,,,2500.0,250.0,12/31/2022,0.0,0.0,MUNROE,MICHELLE
165,Sanford Bishop,Male,Black,,,Yes,No,Georgia,5/24/2022,Representative,2,54991,94,Won,0,0,,,,,,,,,,,False,Black,BISHOP,SANFORD,0,[],SANFORD,BISHOP,H2GA02031,"BISHOP, SANFORD",I,1,DEM,3042832.27,13500.0,3181143.31,100.0,192527.71,54216.67,0.0,0.0,0.0,0.0,0.0,0.0,1324782.05,GA,2.0,,,,,,1693990.0,10000.0,12/31/2022,21160.8,8500.0,BISHOP,SANFORD
166,Charlotte Macbagito,Female,Black,White,,No,Yes,Georgia,5/24/2022,Representative,5,3791,4,Lost,0,0,,,,,,,,,,,False,Black White,MACBAGITO,CHARLOTTE,0,[],CHARLOTTE,MACBAGITO,H2GA05182,"MACBAGITO, CHARLOTTE",C,1,DEM,8220.0,0.0,8220.0,0.0,0.0,0.0,0.0,8220.0,0.0,0.0,0.0,8220.0,0.0,GA,5.0,,,,,,0.0,0.0,03/31/2022,0.0,0.0,MACBAGITO,CHARLOTTE
167,Valencia Stovall,Female,Black,,,No,Yes,Georgia,5/24/2022,Representative,5,8701,10,Lost,0,0,,,,,,,,,,,False,Black,STOVALL,VALENCIA,0,[],VALENCIA,STOVALL,H2GA05174,"STOVALL, VALENCIA",C,1,DEM,10030.0,0.0,7322.42,0.0,0.0,2707.58,0.0,6000.0,0.0,0.0,0.0,6000.0,4030.0,GA,5.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,STOVALL,VALENCIA
169,Nikema Williams,Female,Black,,,Yes,No,Georgia,5/24/2022,Representative,5,78440,86,Won,0,0,,,,,,,,,,,False,Black,WILLIAMS,NIKEMA,0,[],NIKEMA,WILLIAMS,H0GA05301,"WILLIAMS, NIKEMA NATASSHA",I,1,DEM,1152788.78,86600.0,1339884.36,0.0,191162.71,4067.13,0.0,0.0,0.0,0.0,0.0,28227.17,414239.95,GA,5.0,,,,,,642225.0,2299.91,12/31/2022,6718.0,0.0,WILLIAMS,NIKEMA
170,Wayne C. White,Male,White,,,No,No,Georgia,5/24/2022,Representative,6,15025,44,Lost,0,0,,,,,,,,,,,False,White,WHITE,WAYNE,0,[],WAYNE,WHITE,H2GA06214,"WHITE, WAYNE C",C,1,DEM,11767.76,0.0,5673.96,0.0,0.0,6136.7,250.0,6511.76,0.0,0.0,0.0,6761.76,5006.0,GA,6.0,,,,,,0.0,0.0,06/03/2022,0.0,0.0,WHITE,WAYNE
171,Carolyn Bourdeaux,Female,White,,,Yes,Yes,Georgia,5/24/2022,Representative,7,16310,31,Lost,0,0,,,,,,,,,,,False,White,BOURDEAUX,CAROLYN,0,[],CAROLYN,BOURDEAUX,H8GA07201,"BOURDEAUX, CAROLYN",I,1,DEM,3264791.79,24669.81,3375738.56,0.0,113947.78,3001.01,0.0,0.0,0.0,0.0,0.0,0.0,2945509.87,GA,7.0,,,,,,291501.0,800.39,12/31/2022,475892.17,39893.71,BOURDEAUX,CAROLYN
172,Donna McLeod,Female,Black,,,No,Yes,Georgia,5/24/2022,Representative,7,3352,6,Lost,0,0,,,,,,,,,,,False,Black,MCLEOD,DONNA,0,[],DONNA,MCLEOD,H2GA07147,"MCLEOD, DONNA THERESA MS.",C,1,DEM,69565.54,0.0,67604.0,0.0,0.0,1961.54,0.0,0.0,500.0,0.0,0.0,500.0,69065.54,GA,7.0,,,,,,0.0,0.0,08/31/2022,0.0,0.0,MCLEOD,DONNA
173,Darrius Butler,Male,Black,,,No,No,Georgia,5/24/2022,Representative,8,1,100,Won,0,0,,,,,,,,,,,False,Black,BUTLER,DARRIUS,0,[],DARRIUS,BUTLER,H2GA08095,"BUTLER, DARRIUS MAURICE",C,1,DEM,22543.42,0.0,24160.05,0.0,2841.79,1225.16,0.0,6000.0,0.0,0.0,0.0,6000.0,16543.42,GA,8.0,,,,,,0.0,0.0,06/30/2022,0.0,0.0,BUTLER,DARRIUS
174,"Michael ""Mike"" Ford",Male,White,,,No,No,Georgia,5/24/2022,Representative,9,1,100,Won,0,0,,,,,,,,,,,False,White,FORD,MICHAEL,0,[],MICHAEL,FORD,H2GA09234,"FORD, MICHAEL C. MR.",C,1,DEM,36015.7,375.0,38718.49,0.0,0.0,-13740.62,0.0,5000.0,1000.0,0.0,0.0,0.0,27139.7,GA,9.0,,,,,,2200.0,245.0,12/08/2022,0.0,0.0,FORD,MICHAEL
175,Jessica Allison Fore,Female,White,,,No,No,Georgia,5/24/2022,Representative,10,7257,19,Made runoff,5024,36,Lost,,,,,,,,,,False,White,FORE,JESSICA,0,[],JESSICA,FORE,H2GA10273,"FORE, JESSICA ALLISON",O,1,DEM,16100.0,0.0,13112.3,0.0,0.0,2987.7,0.0,0.0,0.0,0.0,0.0,0.0,16100.0,GA,10.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,FORE,JESSICA
176,Tabitha Johnson-Green,Female,Black,,,No,No,Georgia,5/24/2022,Representative,10,15821,42,Made runoff,9070,64,Won,,,,,,,,,,False,Black,JOHNSON-GREEN,TABITHA,0,[],TABITHA,JOHNSON-GREEN,H8GA10197,"JOHNSON-GREEN, TABITHA",C,1,DEM,48652.44,0.0,48652.44,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,400.0,10345.6,GA,10.0,,,,,,35955.07,0.0,12/31/2022,0.0,0.0,JOHNSON-GREEN,TABITHA
177,Phyllis Hatcher,Female,Black,,,No,No,Georgia,5/24/2022,Representative,10,7120,19,Lost,0,0,,,,,,,,,,,False,Black,HATCHER,PHYLLIS,0,[],PHYLLIS,HATCHER,H2GA10208,"HATCHER, PHYLLIS D",O,1,DEM,35018.24,0.0,35361.62,0.0,0.0,-343.38,2008.0,0.0,0.0,0.0,0.0,0.0,32510.24,GA,10.0,,,,,,0.0,500.0,06/30/2022,0.0,0.0,HATCHER,PHYLLIS
178,"Elizabeth ""Liz"" Johnson",Female,Black,,,No,No,Georgia,5/24/2022,Representative,12,1,100,Won,0,0,,,,,,,,,,,False,Black,JOHNSON,ELIZABETH,0,[],ELIZABETH,JOHNSON,H0GA12059,"JOHNSON, ELIZABETH",C,1,DEM,194751.23,0.0,193938.25,0.0,0.0,812.98,0.0,350.0,0.0,0.0,0.0,9883.1,184033.82,GA,12.0,,,,,,9000.0,0.0,12/31/2022,12.0,0.0,JOHNSON,ELIZABETH
179,Mark Baker,Male,Black,,,No,Yes,Georgia,5/24/2022,Representative,13,11581,13,Lost,0,0,,,,,,,,,,,False,Black,BAKER,MARK,0,[],MARK,BAKER,H2GA13087,"BAKER, MARK",C,1,DEM,122085.0,0.0,118944.24,0.0,632.0,3772.76,0.0,107000.0,0.0,0.0,0.0,107000.0,15085.0,GA,13.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,BAKER,MARK
180,Vincent Fort,Male,Black,,,No,Yes,Georgia,5/24/2022,Representative,13,9108,10,Lost,0,0,,,,,,,,,,,False,Black,FORT,VINCENT,0,[],VINCENT,FORT,H2GA13103,"FORT, VINCENT",C,1,DEM,86927.71,0.0,66208.81,0.0,0.0,20718.9,0.0,0.0,0.0,0.0,0.0,3416.66,74527.71,GA,13.0,,,,,,5550.0,0.0,05/04/2022,6850.0,0.0,FORT,VINCENT
181,David Scott,Male,Black,,,Yes,No,Georgia,5/24/2022,Representative,13,60544,66,Won,0,0,,,,,,,,,,,False,Black,SCOTT,DAVID,0,[],DAVID,SCOTT,H2GA13012,"SCOTT, DAVID ALBERT",I,1,DEM,2007965.55,0.0,1833004.1,0.0,461648.48,636609.93,250.0,0.0,0.0,0.0,0.0,27100.0,316678.01,GA,13.0,,,,,,1690525.0,0.0,12/31/2022,0.0,3475.0,SCOTT,DAVID
182,Wendy Davis,Female,White,,,No,No,Georgia,5/24/2022,Representative,14,5141,19,Lost,0,0,,,,,,,,,,,False,White,DAVIS,WENDY,0,[],WENDY,DAVIS,H2GA14077,"DAVIS, WENDY",C,1,DEM,524060.17,0.0,524060.17,0.0,0.0,0.0,0.0,4985.13,0.0,4985.13,0.0,0.0,497550.04,GA,14.0,,,,,,21500.0,0.0,06/30/2022,10975.75,0.0,DAVIS,WENDY
184,Marcus Flowers,Male,Black,,,No,No,Georgia,5/24/2022,Representative,14,20082,75,Won,0,0,,,,,,,,,,,False,Black,FLOWERS,MARCUS,0,[],MARCUS,FLOWERS,H2GA14044,"FLOWERS, MARCUS",C,1,DEM,16972737.74,0.0,16349414.34,1000.0,0.0,623323.4,100.0,18000.0,0.0,18000.0,0.0,0.0,16877851.42,GA,14.0,,,,,,23135.0,100.0,12/31/2022,312837.22,0.0,FLOWERS,MARCUS
185,Holly McCormack,Female,White,,,No,No,Georgia,5/24/2022,Representative,14,1662,6,Lost,0,0,,,,,,,,,,,False,White,MCCORMACK,HOLLY,0,[],HOLLY,MCCORMACK,H2GA14051,"MCCORMACK, HOLLY",C,1,DEM,1893032.74,0.0,1874401.17,0.0,0.0,18631.57,0.0,0.0,0.0,0.0,0.0,78558.53,1889937.75,GA,14.0,,,,,,1000.0,0.0,06/30/2022,18407.35,0.0,MCCORMACK,HOLLY
186,Melanie Ann Stansbury,Female,White,,,Yes,No,New Mexico,6/7/2022,Representative,1,1,100,Won,0,0,,,,,,,,,,,False,White,STANSBURY,MELANIE,0,[],MELANIE,STANSBURY,H2NM01144,"STANSBURY, MELANIE",C,1,DEM,3570362.65,15911.22,3610145.06,0.0,51122.93,11340.52,0.0,0.0,0.0,0.0,0.0,0.0,2834868.94,NM,1.0,,,,,,705212.67,5000.0,12/31/2022,47833.57,2100.0,STANSBURY,MELANIE
187,Gabriel Vasquez,Male,Latino,,,No,No,New Mexico,6/7/2022,Representative,2,24010,76,Won,0,0,,,,,,,,,,Yes,False,Latino,VASQUEZ,GABRIEL,1,['Latino (Mexican)'],GABRIEL,VASQUEZ,H2NM02191,"VASQUEZ, GABRIEL",C,1,DEM,3687697.99,203261.08,3664921.26,0.0,0.0,22776.73,400.0,0.0,0.0,0.0,0.0,0.0,3059190.58,NM,2.0,,,,,,414715.3,10000.0,12/31/2022,28306.58,8549.03,VASQUEZ,GABRIEL
188,Darshan Nilesh Patel,Male,Asian,,,No,No,New Mexico,6/7/2022,Representative,2,7534,24,Lost,0,0,,,,,,,,,,,False,Asian,PATEL,DARSHAN,0,['Asian (Indian)'],DARSHAN,PATEL,H2NM02217,"PATEL, DARSHAN DR.",C,1,DEM,67900.03,0.0,65668.66,0.0,0.0,2231.37,0.0,0.0,0.0,0.0,0.0,0.0,60427.0,NM,2.0,,,,,,7022.0,0.0,06/30/2022,7900.0,0.0,PATEL,DARSHAN
189,Dianne Black,Female,Black,,,No,No,Mississippi,6/7/2022,Representative,1,8268,79,Won,0,0,,,,,,,,,,,False,Black,BLACK,DIANNE,0,[],DIANNE,BLACK,H2MS01148,"BLACK, DIANNE DODSON",C,1,DEM,34342.75,0.0,26814.62,0.0,0.0,-8403.99,150.0,0.0,0.0,0.0,0.0,0.0,32192.75,MS,1.0,,,,,,2000.0,0.0,12/31/2022,0.0,0.0,BLACK,DIANNE
190,Bennie G. Thompson,Male,Black,,,Yes,No,Mississippi,6/7/2022,Representative,2,49907,96,Won,0,0,,,,,,,,,,,False,Black,THOMPSON,BENNIE,0,[],BENNIE,THOMPSON,H4MS02068,"THOMPSON, BENNIE G.",I,1,DEM,1515666.15,0.0,1308304.86,0.0,1523548.27,1730909.56,0.0,0.0,0.0,0.0,0.0,0.0,613485.54,MS,2.0,,,,,,900902.5,0.0,12/31/2022,5203.75,1000.0,THOMPSON,BENNIE
191,Shuwaski A. Young,Male,Black,,,No,No,Mississippi,6/7/2022,Representative,3,1,100,Won,0,0,,,,,,,,,,,False,Black,YOUNG,SHUWASKI,0,[],SHUWASKI,YOUNG,H2MS03136,"YOUNG, SHUWASKI",C,1,DEM,77359.24,0.0,76889.38,0.0,0.0,469.86,0.0,0.0,0.0,0.0,0.0,36566.73,74015.75,MS,3.0,,,,,,1739.92,1360.0,12/31/2022,50.0,0.0,YOUNG,SHUWASKI
192,David Sellers,Male,White,,,No,No,Mississippi,6/7/2022,Representative,4,1766,15,Lost,0,0,,,,,,,,,,,False,White,SELLERS,DAVID,0,[],DAVID,SELLERS,H2MS04282,"SELLERS, DAVID",C,1,DEM,20859.0,0.0,19568.97,0.0,100.0,1390.03,0.0,0.0,0.0,0.0,0.0,0.0,17359.0,MS,4.0,,,,,,3500.0,0.0,12/31/2022,0.0,0.0,SELLERS,DAVID
193,Cora Neumann,Female,White,,,No,No,Montana,6/7/2022,Representative,1,15396,27,Lost,0,0,,,,,No,,,,,,False,White,NEUMANN,CORA,0,[],CORA,NEUMANN,H2MT02100,"NEUMANN, CORA",C,1,DEM,1449799.79,0.0,1542200.27,0.0,93942.37,1541.89,0.0,0.0,0.0,0.0,0.0,0.0,1436043.94,MT,1.0,,,,,,13250.0,0.0,12/31/2022,247700.5,0.0,NEUMANN,CORA
195,Monica Tranel,Female,White,,,No,No,Montana,6/7/2022,Representative,1,37138,65,Won,0,0,,,,,No,,,,,,False,White,TRANEL,MONICA,0,[],MONICA,TRANEL,H2MT02092,"TRANEL, MONICA",C,1,DEM,3088634.59,0.0,3088634.59,0.0,0.0,0.0,10000.0,30000.0,0.0,30000.0,0.0,0.0,2957337.84,MT,1.0,,,,,,86756.25,2600.0,12/21/2022,19657.95,0.0,TRANEL,MONICA
196,Penny Ronning,Female,White,,,No,No,Montana,6/7/2022,Representative,2,21983,58,Won,0,0,,,,,,,,,,,False,White,RONNING,PENNY,0,[],PENNY,RONNING,H2MT02134,"RONNING, PENNY",C,1,DEM,175792.67,0.0,175463.67,0.0,0.0,329.0,10033.54,0.0,0.0,0.0,0.0,0.0,149619.04,MT,2.0,,,,,,16140.09,0.0,12/31/2022,0.0,0.0,RONNING,PENNY
197,Mark Sweeney,Male,White,,,No,No,Montana,6/7/2022,Representative,2,8586,23,Lost,0,0,,,,,,,,,,,False,White,SWEENEY,MARK,0,[],MARK,SWEENEY,H2MT02159,"SWEENEY, MARK",C,1,DEM,123323.0,0.0,119523.31,0.0,0.0,0.0,1740.0,0.0,0.0,0.0,0.0,0.0,120783.0,MT,2.0,,,,,,800.0,0.0,12/31/2022,5800.0,0.0,SWEENEY,MARK
198,Skylar Williams,Male,Native American,Latino,,No,No,Montana,6/7/2022,Representative,2,7029,19,Lost,0,0,,,,,,,,,,,False,Latino Native American,WILLIAMS,SKYLAR,0,[],SKYLAR,WILLIAMS,H2MT02118,"WILLIAMS, SKYLAR",C,1,DEM,4729.47,0.0,4729.47,0.0,0.0,0.0,2550.0,0.0,0.0,0.0,0.0,0.0,1276.73,MT,2.0,,,,,,0.0,734.74,07/08/2022,0.0,0.0,WILLIAMS,SKYLAR
199,Abby Finkenauer,Female,White,,,No,No,Iowa,6/7/2022,Senator,,62581,40,Lost,0,0,,Yes,,,,,,,,,False,White,FINKENAUER,ABBY,1,[],ABBY,FINKENAUER,H8IA01094,"FINKENAUER, ABBY",I,1,DEM,4822.06,3440.13,51254.65,20841.26,55019.36,8586.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IA,1.0,,,,,,0.0,0.0,12/31/2022,3702.0,2026.72,FINKENAUER,ABBY
201,Michael Franken,Male,White,,,No,No,Iowa,6/7/2022,Senator,,86527,55,Won,0,0,,No,,,,,,,,,False,White,FRANKEN,MICHAEL,0,[],MICHAEL,FRANKEN,S2IA00172,"FRANKEN, MICHAEL T",C,1,DEM,11468780.34,10356.81,11417544.47,0.0,0.0,51235.87,0.0,0.0,0.0,0.0,0.0,0.0,11312983.59,IA,0.0,,,,,,131925.0,11964.0,12/31/2022,104124.25,5000.0,FRANKEN,MICHAEL
202,Glenn Hurst,Male,White,,,No,No,Iowa,6/7/2022,Senator,,7571,5,Lost,0,0,,No,,,,,,,,,False,White,HURST,GLENN,0,[],GLENN,HURST,S2IA00156,"HURST, GLENN",C,1,DEM,134843.25,0.0,105982.24,0.0,0.0,28626.41,0.0,0.0,0.0,0.0,0.0,0.0,118091.33,IA,0.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,HURST,GLENN
